Genome	ThiC	Thi5	Thi5-like	SSSP	TH1	THIO	THIS	THIF	DXS	THIG	TPK1	FOLR	Thi4	ThiM	TENA
Fragilariopsis_cylindrus_Fracy1	gene-FRACYDRAFT_225659	gene-FRACYDRAFT_227553	KV784397_1:42152-43078	gene-FRACYDRAFT_157110	gene-FRACYDRAFT_161112	KV784364_1:945364-947730	NA	gene-FRACYDRAFT_194811	gene-FRACYDRAFT_206899	NA	gene-FRACYDRAFT_186232	gene-FRACYDRAFT_268251	NA	NA	gene-FRACYDRAFT_184738
Nitzschia_putrida_Nputr_1.0	NA	NA	NA	BLYE01000002_1:1397302-1398993	NA	NA	NA	BLYE01000001_1:281243-280731	BLYE01000093_1:37765-38136	NA	BLYE01000024_1:376641-375886	BLYE01000093_1:92953-92210	NA	NA	NA
Nitzschia_sp_Nitz4	NA	NA	NA	NA	NA	NA	NA	WXVQ01000107_1:6468-5956	WXVQ01000081_1:110818-111189	WXVQ01000048_1:65956-66123	WXVQ01000181_1:6384-7142	WXVQ01000253_1:6439-5669	NA	NA	NA
Pseudo-nitzschia_multiseries_Psemu1	"""estExt_Genewise1Plus.C_1240062"""	"""estExt_fgenesh1_pm.C_420005"""	"""estExt_fgenesh1_pm.C_420005"""	"""estExt_Genewise1Plus.C_990054"""	"""estExt_fgenesh1_pm.C_4120005"""	"""e_gw1.2973.5.1"""	NA	"""fgenesh1_pm.5_#_4"""	"""estExt_Genemark1.C_1630038"""	NA	"""estExt_Genewise1Plus.C_16050006"""	NA	NA	NA	"""e_gw1.2416.4.1"""
Pseudo-nitzschia_multistriata_ASM90066040v1	gene-PSNMU_V1.4_AUG-EV-PASAV3_0053000	NA	NA	gene-PSNMU_V1.4_AUG-EV-PASAV3_0008960	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116010	NA	gene-PSNMU_V1.4_AUG-EV-PASAV3_0116770	gene-PSNMU_V1.4_AUG-EV-PASAV3_0091530	gene-PSNMU_V1.4_AUG-EV-PASAV3_0041590	gene-PSNMU_V1.4_AUG-EV-PASAV3_0061590	NA	NA	NA	gene-PSNMU_V1.4_AUG-EV-PASAV3_0106000
Halamphora_sp_MG8b	NA	QAXB01032885_1:1559-1711	QAXB01050768_1:1103-552	QAXB01031828_1:5-328	QAXB01030865_1:46-375	QAXB01005118_1:2-430	NA	QAXB01048911_1:2109-925	QAXB01007216_1:411-1	NA	QAXB01047145_1:556-56	QAXB01050104_1:2-316	NA	NA	QAXB01034449_1:803-501
Halamphora_sp_AAB	QAXC01000003_1:1212623-1210920	QAXC01001892_1:1159-398	QAXC01001892_1:1147-443	QAXC01003832_1:1234-1761	QAXC01000003_1:1210894-1209434	QAXC01000004_1:215543-214824	NA	QAXC01003902_1:576-1670	QAXC01000004_1:1443312-1441492	QAXC01000003_1:1208464-1207724	NA	NA	QAXC01000002_1:500074-500199	QAXC01003315_1:644-15	QAXC01006055_1:1619-2224
Fistulifera_solaris_Fsol_1.0	NA	gene-FisN_6Hh163	gene-FisN_2Lh421	NA	NA	gene-FisN_1Hh144	NA	gene-FisN_5Hh351	gene-FisN_5Lh466	NA	gene-FisN_17Hh021	gene-FisN_9Hh048	NA	NA	gene-FisN_13Lh185
Seminavis_robusta_version1.2	Sro446_g144700	NA	NA	Sro435_g142330	Sro3058_g342900	Sro399_g134930	Sro51_chlor_g029420	Sro1881_g303260	Sro197_g083720	Sro51_chlor_g029930	Sro103_g052470	NA	NA	NA	Sro90_g047300
Phaeodactylum_tricornutum_ASM15095v2	gene-PHATRDRAFT_38085	gene-PHATR_33535	gene-PHATR_33535	gene-PHATRDRAFT_50012	gene-PHATRDRAFT_47293	gene-PHATRDRAFT_31544	NA	gene-PHATRDRAFT_34373	gene-PHATRDRAFT_bd1689	gene-PHATRDRAFT_29885	gene-PHATRDRAFT_5423	NA	NA	NA	gene-PHATRDRAFT_34896
