# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Missing
693at33634	Missing
723at33634	Missing
971at33634	Fragmented	QAXB01053111_1	351	1520	-	676.9	359	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Missing
1326at33634	Missing
1342at33634	Missing
1803at33634	Missing
2880at33634	Fragmented	QAXB01033441_1	8	1082	-	463.1	274	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Missing
3528at33634	Fragmented	QAXB01039562_1	2	1427	-	673.5	364	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Missing
3834at33634	Missing
3835at33634	Missing
3892at33634	Fragmented	QAXB01034408_1	10	1282	-	372.1	289	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	QAXB01040235_1	0	971	-	328.7	245	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	QAXB01052990_1	0	1944	+	498.3	338	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	QAXB01022420_1	2	1417	-	229.6	230	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Missing
5144at33634	Missing
5145at33634	Complete	QAXB01033943_1	595	1452	-	399.2	261	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Missing
5960at33634	Missing
5964at33634	Complete	QAXB01032377_1	2359	3996	-	276.6	394	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	QAXB01054464_1	394	1890	+	784.4	451	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	QAXB01053866_1	0	1307	-	709.7	383	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Missing
6933at33634	Complete	QAXB01044562_1	14	1413	-	499.5	324	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Fragmented	QAXB01052470_1	510	884	-	122.7	107	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Complete	QAXB01033736_1	605	2016	-	319.7	354	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Missing
8142at33634	Missing
8760at33634	Missing
8842at33634	Missing
9201at33634	Fragmented	QAXB01032618_1	67	555	-	71.4	91	https://www.orthodb.org/v10?query=9201at33634	Programmed cell death protein 2
9286at33634	Missing
9297at33634	Complete	QAXB01036435_1	1686	2804	+	206.1	258	https://www.orthodb.org/v10?query=9297at33634	RNA 3'-terminal phosphate cyclase
9413at33634	Complete	QAXB01031593_1	2	883	-	276.0	212	https://www.orthodb.org/v10?query=9413at33634	DNA primase
9731at33634	Fragmented	QAXB01042646_1	1013	1534	+	270.6	162	https://www.orthodb.org/v10?query=9731at33634	AP-3 complex subunit delta
9939at33634	Missing
10123at33634	Fragmented	QAXB01005232_1	2	262	-	118.0	82	https://www.orthodb.org/v10?query=10123at33634	Gdp-man
10425at33634	Missing
10799at33634	Fragmented	QAXB01038582_1	0	1210	+	304.9	212	https://www.orthodb.org/v10?query=10799at33634	Bifunctional dihydrofolate reductase-thymidylate synthase
11504at33634	Missing
12069at33634	Missing
12249at33634	Fragmented	QAXB01043836_1	1	906	+	256.6	206	https://www.orthodb.org/v10?query=12249at33634	Methylthiotransferase, N-terminal
12363at33634	Missing
12382at33634	Missing
12562at33634	Missing
12626at33634	Complete	QAXB01050637_1	141	1901	+	420.8	364	https://www.orthodb.org/v10?query=12626at33634	MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1
12684at33634	Complete	QAXB01052580_1	663	1334	+	138.8	129	https://www.orthodb.org/v10?query=12684at33634	pap-associated domain-containing protein 5-like
12693at33634	Missing
13102at33634	Complete	QAXB01054272_1	24	1745	+	461.4	342	https://www.orthodb.org/v10?query=13102at33634	Large subunit GTPase 1
13476at33634	Fragmented	QAXB01002270_1	2	481	-	274.7	148	https://www.orthodb.org/v10?query=13476at33634	Proteasome subunit beta type
13537at33634	Missing
13819at33634	Complete	QAXB01032633_1	2	1172	+	445.0	294	https://www.orthodb.org/v10?query=13819at33634	ubiquitin-activating enzyme E1 C
13832at33634	Complete	QAXB01032453_1	110	1024	+	111.5	186	https://www.orthodb.org/v10?query=13832at33634	protein phosphatase
14113at33634	Fragmented	QAXB01051719_1	19	735	-	365.4	187	https://www.orthodb.org/v10?query=14113at33634	rme1-like gtpase atpase without a c-terminal eh domain protein
15177at33634	Complete	QAXB01032927_1	1	898	+	289.3	200	https://www.orthodb.org/v10?query=15177at33634	Eukaryotic translation initiation factor 3 subunit I
15216at33634	Fragmented	QAXB01034790_1	304	717	+	183.8	116	https://www.orthodb.org/v10?query=15216at33634	Pantoate-beta-alanine ligase
15242at33634	Missing
15351at33634	Missing
15520at33634	Missing
15827at33634	Complete	QAXB01048643_1	1120	2629	+	371.1	283	https://www.orthodb.org/v10?query=15827at33634	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase
15969at33634	Complete	QAXB01051333_1	861	1919	+	352.6	242	https://www.orthodb.org/v10?query=15969at33634	Calreticulin
16248at33634	Complete	QAXB01054708_1	2290	3192	-	175.9	201	https://www.orthodb.org/v10?query=16248at33634	Impact, N-terminal
17057at33634	Missing
17622at33634	Fragmented	QAXB01039821_1	6	724	-	197.7	146	https://www.orthodb.org/v10?query=17622at33634	Histone acetyltransferase
